seq_id,cons_k1_mean,cons_k1_std,cons_k3_mean,cons_k3_std,cons_k5_mean,cons_k5_std,cons_k7_mean,cons_k7_std,cons_k9_mean,cons_k9_std,cons_k11_mean,cons_k11_std,cons_k13_mean,cons_k13_std,cons_k15_mean,cons_k15_std,cons_k19_mean,cons_k19_std,cons_k21_mean,cons_k21_std,cons_k25_mean,cons_k25_std
5s_Meloidogyne-arenaria-2,0.6994127005338668,0.08629802741520419,0.7511618793010711,0.06371038641124548,0.7492010354995727,0.05968620575086025,0.7851707547903061,0.025523269170787812,0.7890645384788513,0.023772711452112225,0.7812240302562714,0.034668772726580165,0.7982656538486481,0.017587007278636442,0.7916018038988113,0.017894439125427885,0.7959251463413238,0.017910727452136954,0.7985593676567078,0.01756488993194027,0.8003237038850785,0.010274593734204246
5s_Nitella-flexilis-1,0.8436443030834198,0.05330192522813323,0.8880632787942886,0.018465574964646642,0.8926386713981629,0.014426392784927121,0.8934469789266586,0.013526580577085886,0.8904166728258133,0.008725060144704278,0.8958024650812149,0.009687291102424481,0.8956854701042175,0.007986535050505809,0.892470869421959,0.0048162755054406555,0.8931468605995179,0.0036578218010854978,0.892307698726654,0.0,0.8931468605995179,0.0036578218010854978
5s_Pirellula-sp.-1,0.906874829530716,0.05459380839857214,0.9238035649061203,0.04264598633214456,0.9189670234918594,0.03558192045356801,0.9343704789876938,0.034287796429385745,0.9418023824691772,0.02752927635486245,0.9259964436292648,0.0309827820731284,0.9299640983343125,0.02631284760202219,0.9302376508712769,0.018086422590838615,0.9273691982030868,0.024706179124333375,0.9207888543605804,0.022103090419200028,0.9192664057016373,0.019065812981438886
5s_Prosthecochloris-aestuarii-1,0.8169216215610504,0.08374854378814589,0.8862749367952347,0.035983116806765775,0.9006823718547821,0.020892419413573438,0.9074788182973862,0.015520522437787758,0.9121132493019104,0.01349877734901055,0.903556963801384,0.017545354062823187,0.912077933549881,0.01492313964998117,0.9043754875659943,0.015435698134611245,0.909333661198616,0.009184508896167964,0.9160314440727234,0.007501530647277832,0.9131848841905594,0.007294978935436385
5s_Rhodobacter-sphaeroides-3,0.8005711764097214,0.055938748191886094,0.8864159345626831,0.04326266572790123,0.883740371465683,0.036889589129331955,0.9194046169519424,0.027516334470194803,0.9149853765964509,0.026973892586151158,0.9124515146017075,0.029633145249522812,0.9254612803459168,0.02506617962657518,0.9194171786308288,0.016776545565720356,0.9282712996006012,0.012883024295209001,0.935112738609314,0.015389946493092242,0.9267527014017105,0.016057053940714498
5s_Tulasnella-violea-1,0.9580967485904693,0.029838469174584343,0.9813631981611252,0.01641199976678546,0.9876546531915664,0.01768483646149817,0.994989064335823,0.008188417499933593,0.996417635679245,0.006205642721926031,0.997826087474823,0.005174946902821471,0.9992753624916076,0.0031586216697812907,0.9963768124580383,0.006275544908028206,0.997826087474823,0.005174946902821472,0.9992753624916076,0.0031586216697812907,0.9992753624916076,0.0031586216697812902
5s_Vitreoscilla-stercoraria-1,0.8445671737194062,0.05369857386415931,0.8929771780967712,0.031724804404635265,0.888107368350029,0.04103866305738916,0.9278812378644943,0.026241320882315358,0.9058835595846176,0.04484495465981047,0.9395792692899704,0.015298432584231815,0.9269655227661133,0.030048320512831815,0.9345537006855011,0.02391721016015162,0.9228440135717392,0.02849815544794984,0.9208586782217025,0.03312555194663802,0.9278661936521531,0.018973025549893285
srp_Anab.vari._CP000117,0.4394298821687698,0.12715819859950078,0.39888463318347933,0.12559415420960243,0.4744562849402428,0.081691742773008,0.4334951162338257,0.05646856059301677,0.42999629825353625,0.060935774856839285,0.4028290845453739,0.06531225326145432,0.41016640067100524,0.07906409708942533,0.4042562782764435,0.05931469101681674,0.4353093050420284,0.06426260581871561,0.41727793514728545,0.06401471255338655,0.4186548337340355,0.052011975799769426
srp_Baci.subt._X06803,0.9220797777175903,0.03463941018253095,0.9192307740449905,0.01676499493742327,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0,0.9230769276618958,0.0
srp_Camp.jeju._CP000768,0.7686195939779281,0.05118967656731696,0.7971147805452347,0.030694480000963732,0.8171152114868164,0.019474234518876313,0.813050726056099,0.01963321677973875,0.8163871973752975,0.013244516197529232,0.8174898952245713,0.013592106290491193,0.8182347357273102,0.01448335174276739,0.8175741076469422,0.014913965804570922,0.8283567607402802,0.013603022347933936,0.8242683172225952,0.01738381184603303,0.823381245136261,0.015627276457999325
