run_name,status,timesteps,batch_size,use_amp,oom_events,trace_path,trace_size_mb,train_batch_ms,train_forward_ms,train_backward_ms,train_step_ms,eval_no_f1_ms,eval_with_f1_ms,max_alloc_gb_trace,max_reserved_gb_trace,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_alloc_delta_avg_mb_gpu,train_forward_alloc_delta_peak_mb_gpu,train_backward_alloc_delta_avg_mb_gpu,train_backward_alloc_delta_peak_mb_gpu,train_step_alloc_delta_avg_mb_gpu,train_step_alloc_delta_peak_mb_gpu,train_forward_alloc_delta_avg_mb_cpu,train_forward_alloc_delta_peak_mb_cpu,train_backward_alloc_delta_avg_mb_cpu,train_backward_alloc_delta_peak_mb_cpu,train_step_alloc_delta_avg_mb_cpu,train_step_alloc_delta_peak_mb_cpu,train_forward_alloc_traffic_mb_gpu,train_forward_free_traffic_mb_gpu,train_backward_alloc_traffic_mb_gpu,train_backward_free_traffic_mb_gpu,train_step_alloc_traffic_mb_gpu,train_step_free_traffic_mb_gpu,train_forward_alloc_traffic_mb_cpu,train_forward_free_traffic_mb_cpu,train_backward_alloc_traffic_mb_cpu,train_backward_free_traffic_mb_cpu,train_step_alloc_traffic_mb_cpu,train_step_free_traffic_mb_cpu
sim90_bs4_pb4_30ts_fp32,ok,30,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_30ts_fp32/profiler_traces/pc59_3193258.1772558477314091372.pt.trace.json,343.7995557785034,570.7646666666666,265.8686666666667,297.888,6.392,240.7495,415.43,11.292572975158691,23.1328125,8535.642,3773.376,5543.566607622352,11206.959309895834,0.08436480254164114,77.72509765625,5.460935515116869,10.698567708333334,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,32175.523600260418,21071.216959635418,48888.02392578125,59981.47412109375,10.698567708333334,10.698567708333334,0.00344085693359375,0.00344085693359375,0.000457763671875,0.000457763671875,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_30ts_amp,ok,30,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_30ts_amp/profiler_traces/pc59_3193258.1772558561785946360.pt.trace.json,408.36012077331543,712.638,337.1956666666667,367.176,7.638666666666667,278.76525,463.68575,10.819221496582031,11.091796875,12181.275,3511.949,4994.940635026752,10151.619466145834,0.04852199817206974,162.37662760416666,8.038640635734644,14.736002604166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.00014696121215820312,0.0001678466796875,32989.48486328125,22992.36328125,46258.089680989586,56242.743489583336,14.737955729166666,7.4697265625,0.00344085693359375,0.00344085693359375,0.000457763671875,0.000457763671875,0.001094818115234375,0.00093841552734375
sim90_bs4_pb4_35ts_fp32,ok,35,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_35ts_fp32/profiler_traces/pc59_3193258.1772558652866775056.pt.trace.json,400.67511653900146,734.1576666666666,339.8986666666667,385.6213333333333,8.078666666666667,290.47525,560.2025,12.250165462493896,12.853515625,10933.957,4352.13,6188.819712072458,12422.06103515625,0.06660442848778153,74.67724609375,5.425697884908536,10.6376953125,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,33421.294759114586,21025.382161458332,46920.857747395836,59306.255045572914,10.6376953125,10.6376953125,0.0040130615234375,0.0040130615234375,0.0005340576171875,0.0005340576171875,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_35ts_amp,ok,35,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_35ts_amp/profiler_traces/pc59_3193258.1772558751504729528.pt.trace.json,479.48317432403564,935.746,462.769,465.5973333333333,6.331666666666667,329.4825,610.89175,11.900571823120117,13.0703125,16166.227,3987.687,4868.179916731241,9869.64990234375,0.035496825572411704,131.33740234375,8.198818862742778,14.907877604166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.00014696121215820312,0.0001678466796875,33573.417317708336,23853.568196614582,45330.666341145836,55038.27587890625,14.909830729166666,7.505533854166667,0.0040130615234375,0.0040130615234375,0.0005340576171875,0.0005340576171875,0.001094818115234375,0.00093841552734375
sim90_bs4_pb4_40ts_fp32,ok,40,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_40ts_fp32/profiler_traces/pc59_3193258.1772558857110006405.pt.trace.json,458.02367782592773,794.8733333333333,361.114,422.855,10.306,322.96725,631.66925,15.002745628356934,15.587890625,12156.755,5001.88,7243.224295124327,14557.294596354166,0.06077500874849551,76.201171875,5.422919048526423,10.640299479166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,40547.024251302086,26054.130208333332,59370.654459635414,73853.00846354167,10.640299479166666,10.640299479166666,0.00458526611328125,0.00458526611328125,0.0006103515625,0.0006103515625,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_40ts_amp,ok,40,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_40ts_amp/profiler_traces/pc59_3193258.1772558969975869494.pt.trace.json,543.2594909667969,897.742,393.537,496.2096666666667,6.875333333333333,368.82525,695.287,12.689189910888672,15.587890625,16327.056,4525.662,5737.204680671491,11619.874837239584,0.03134407169808958,124.77473958333333,7.82914387005394,14.361002604166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.00014696121215820312,0.0001678466796875,40993.687662760414,29524.355794270832,53083.17919921875,64540.35009765625,14.362955729166666,7.183268229166667,0.00458526611328125,0.00458526611328125,0.0006103515625,0.0006103515625,0.001094818115234375,0.00093841552734375
sim90_bs4_pb4_45ts_fp32,ok,45,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_45ts_fp32/profiler_traces/pc59_3193258.1772559086786877396.pt.trace.json,516.3761320114136,904.912,412.39233333333334,484.6516666666667,7.219333333333333,360.66775,709.1005,15.698389530181885,16.61328125,13756.222,5313.279,6801.724774049416,13713.918294270834,0.047321578188784706,67.70247395833333,5.571908346036584,10.896158854166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,42777.314127604164,29163.734537760418,59617.450358072914,73220.4716796875,10.896158854166666,10.896158854166666,0.005157470703125,0.005157470703125,0.0006866455078125,0.0006866455078125,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_45ts_amp,ok,45,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_45ts_amp/profiler_traces/pc59_3193258.1772559211075461353.pt.trace.json,609.9956378936768,1035.836,477.986,551.4306666666666,5.535333333333333,417.4605,753.20875,16.118614196777344,16.61328125,18400.336,5091.384,6524.393613233563,13199.51708984375,0.0274415348048665,130.1220703125,6.20971520118464,10.847493489583334,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.0002872467041015625,0.000324249267578125,46569.090983072914,33520.376627604164,56282.387532552086,69319.10758463542,10.848958333333334,3.595703125,0.005157470703125,0.005157470703125,0.0006866455078125,0.0006866455078125,0.001251220703125,0.00093841552734375
sim90_bs4_pb4_50ts,unknown,50,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_50ts/profiler_traces/pc59_3193258.1772552104514407737.pt.trace.json,653.701774597168,946.26,406.718,531.2525,6.62425,350.11275,684.49075,18.653799533843994,18.9765625,15970.934,6780.93,7936.820206161738,16028.6357421875,0.04481849018449691,77.5889892578125,9.379119873046875,16.8564453125,3.814697265625e-06,7.62939453125e-06,3.814697265625e-06,7.62939453125e-06,7.681846618652343e-05,8.96453857421875e-05,54421.77783203125,38531.989013671875,69298.02807617188,85176.46569824219,16.8564453125,11.31689453125,0.00572967529296875,0.00572967529296875,0.000762939453125,0.000762939453125,0.0010166168212890625,0.00093841552734375
sim90_bs4_pb4_50ts_fp32,ok,50,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_50ts_fp32/profiler_traces/pc59_3193258.1772559924986045302.pt.trace.json,571.7798147201538,1126.232,498.77933333333334,617.8893333333334,8.893333333333334,387.792,733.35675,18.908836364746094,23.12890625,15804.057,6262.268,8934.20578122345,17938.161295572918,0.04871889429060011,74.72705078125,5.650577204014229,11.054361979166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,49944.376790364586,32108.3310546875,75914.21484375,93739.15869140625,11.054361979166666,11.054361979166666,0.00572967529296875,0.00572967529296875,0.000762939453125,0.000762939453125,0.00093841552734375,0.00093841552734375
