run_name,status,timesteps,batch_size,use_amp,train_batch_count,eval_batch_count,train_batch_ms,train_forward_ms,train_backward_ms,eval_no_f1_ms,eval_with_f1_ms,eval_sample_ms,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_cpu_ms_keyavg,train_forward_cuda_ms_keyavg,train_backward_cpu_ms_keyavg,train_backward_cuda_ms_keyavg,max_alloc_gb_trace,max_reserved_gb_trace,train_forward_alloc_avg_mb_gpu,train_forward_alloc_peak_mb_gpu,train_backward_alloc_avg_mb_gpu,train_backward_alloc_peak_mb_gpu,train_step_alloc_avg_mb_gpu,train_step_alloc_peak_mb_gpu,train_forward_alloc_avg_mb_cpu,train_forward_alloc_peak_mb_cpu,train_backward_alloc_avg_mb_cpu,train_backward_alloc_peak_mb_cpu,train_step_alloc_avg_mb_cpu,train_step_alloc_peak_mb_cpu,oom_events,trace_size_mb,trace_path
sim90_bs4_pb4_60ts_fp32,ok,60,4,False,3.0,8.0,1537.552,774.9076666666666,753.4373333333334,580.955,984.614,458.466,23101.64,7826.392,2324.722,854.347,2260.31,0.003,22.658946990966797,23.109375,10809.130218668843,21551.210123697918,10868.566298829037,21561.80078125,89.7879072980183,95.0283203125,0.036891937255859375,0.036895751953125,0.036891937255859375,0.036895751953125,0.036894798278808594,0.036899566650390625,2.0,686.2711143493652,logs/diffusion_profiler_light/sim90_bs4_pb4_60ts_fp32/profiler_traces/pc59_3193258.1772561467317013388.pt.trace.json
sim90_bs4_pb4_60ts_amp,ok,60,4,True,3.0,8.0,1862.344,682.596,1171.5553333333332,629.32625,1110.278,471.03425,31361.371,6829.58,2047.787,589.117,3514.664,0.006,17.704875469207764,21.5703125,7074.751804920906,14252.465983072916,7089.1594347977925,14201.51611328125,68.11253574346405,72.75260416666667,0.036891937255859375,0.036895751953125,0.036891937255859375,0.036895751953125,0.03717536926269531,0.037212371826171875,0.0,812.741828918457,logs/diffusion_profiler_light/sim90_bs4_pb4_60ts_amp/profiler_traces/pc59_3193258.1772561663098137311.pt.trace.json
sim90_bs4_pb4_62ts_fp32,oom,62,4,False,1.0,0.0,834.157,833.246,0.0,0.0,0.0,0.0,1741.998,431.91,833.245,295.94,0.0,0.0,22.571765422821045,23.126953125,11730.658246120995,23113.48779296875,,,,,0.037204742431640625,0.03720855712890625,,,,,3.0,33.504178047180176,logs/diffusion_profiler_light/sim90_bs4_pb4_62ts_fp32/profiler_traces/pc59_3193258.1772561743247494880.pt.trace.json
sim90_bs4_pb4_62ts_amp,ok,62,4,True,3.0,8.0,1685.3183333333332,834.6533333333334,839.073,696.7615,1078.4615,485.06125,30005.125,7210.81,2503.959,762.26,2517.218,0.006,21.342730045318604,22.09375,7526.971556045705,15054.501139322916,7541.299713267581,15006.320149739584,68.78332886540034,73.43277994791667,0.037204742431640625,0.03720855712890625,0.037204742431640625,0.03720855712890625,0.03748817443847656,0.037525177001953125,0.0,840.1868658065796,logs/diffusion_profiler_light/sim90_bs4_pb4_62ts_amp/profiler_traces/pc59_3193258.1772561870353312579.pt.trace.json
sim90_bs4_pb4_64ts_fp32,ok,64,4,False,3.0,8.0,1360.5393333333332,595.3663333333334,754.2086666666667,556.0785,1051.9505,502.17575,21229.517,8021.321,1786.098,891.486,2262.624,0.003,22.34773349761963,23.1328125,10994.017096387848,22008.361490885418,11051.369114772644,22016.5322265625,89.81272627667683,95.24267578125,0.037517547607421875,0.0375213623046875,0.037517547607421875,0.0375213623046875,0.037520408630371094,0.037525177001953125,0.0,732.5218896865845,logs/diffusion_profiler_light/sim90_bs4_pb4_64ts_fp32/profiler_traces/pc59_3193258.1772562058332052128.pt.trace.json
sim90_bs4_pb4_64ts_amp,ok,64,4,True,3.0,8.0,1642.1606666666667,797.3913333333334,837.1986666666667,705.48275,1062.3605,466.72725,29181.144,7865.071,2392.173,1024.62,2511.593,0.006,22.831581115722656,23.060546875,11110.345085925672,22241.567057291668,11129.954526825002,22249.802897135418,71.09112317453024,75.88655598958333,0.037517547607421875,0.0375213623046875,0.037517547607421875,0.0375213623046875,0.03780097961425781,0.037837982177734375,0.0,867.6923894882202,logs/diffusion_profiler_light/sim90_bs4_pb4_64ts_amp/profiler_traces/pc59_3193258.1772562254561457896.pt.trace.json
sim90_bs4_pb4_66ts_fp32,oom,66,4,False,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
sim90_bs4_pb4_66ts_amp,ok,66,4,True,3.0,8.0,1809.8456666666668,945.5993333333333,856.8746666666666,630.112,1111.02775,482.32625,30320.882,7794.732,2836.796,691.432,2570.622,0.006,20.914335250854492,23.1328125,8690.706157086592,17468.97900390625,8706.30314164982,17455.291666666668,69.27913539113563,73.89485677083333,0.037830352783203125,0.03783416748046875,0.037830352783203125,0.03783416748046875,0.03811378479003906,0.038150787353515625,0.0,896.6170778274536,logs/diffusion_profiler_light/sim90_bs4_pb4_66ts_amp/profiler_traces/pc59_3193258.1772562472511599142.pt.trace.json
sim90_bs4_pb4_68ts_fp32,oom,68,4,False,1.0,0.0,877.585,876.97,0.0,0.0,0.0,0.0,2105.447,455.641,876.969,300.468,0.0,0.0,22.92442750930786,23.12109375,11885.122865493253,23474.61376953125,,,,,0.038143157958984375,0.03814697265625,,,,,3.0,34.224653244018555,logs/diffusion_profiler_light/sim90_bs4_pb4_68ts_fp32/profiler_traces/pc59_3193258.1772562577616140690.pt.trace.json
sim90_bs4_pb4_68ts_amp,oom,68,4,True,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
sim90_bs4_pb4_75ts,unknown,75,4,False,2.0,0.0,1082.3,650.1735,849.803,0.0,0.0,0.0,4855.408,1515.531,,,,,22.860162258148193,23.123046875,11229.384873236344,22543.995361328125,10826.623867054577,21611.677734375,59.583445479230186,72.4189453125,0.02911376953125,0.029117584228515625,0.028957366943359375,0.028961181640625,0.029240798950195313,0.029277801513671875,4.0,159.75377750396729,logs/diffusion_profiler_light/sim90_bs4_pb4_75ts/profiler_traces/pc59_3193258.1772552445976460028.pt.trace.json
sim90_bs4_pb4_75ts_fp32,oom,75,4,False,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
sim90_bs4_pb4_75ts_amp,oom,75,4,True,1.0,0.0,1326.889,1325.299,0.0,0.0,0.0,0.0,4810.561,524.708,1325.299,311.468,0.0,0.0,22.904239654541016,23.12890625,11729.234361295112,23453.94140625,,,,,0.035327911376953125,0.03533172607421875,,,,,36.0,48.043203353881836,logs/diffusion_profiler_light/sim90_bs4_pb4_75ts_amp/profiler_traces/pc59_3193258.1772559549323446306.pt.trace.json
